	-37	-36.75	-36.5	-36.25	-36	-35.75	-35.5	-35.25	-35	-34.75	-34.5	-34.25	-34	-33.75	-33.5	-33.25	-33	-32.75	-32.5	-32.25	-32
-5	13550.8	11447.9	10544.4	9786.49	9227.08	8884.2	8698.32	8485.92	8261.4	8139	8173.95	8013.48	7569.28	7632.79	8071.76	7819.33	7573.13	7462.75	7563.56	6841.25	6507.71
-4.75	5768.8	5546.68	5403.17	5339.08	5377.81	5253.51	5196.84	5160.17	5283.24	5075.73	5276.24	5626.97	5477.87	5677.07	5367.12	5148.9	5282.99	5506.82	5795.1	6021.98	6084.52
-4.5	4810.3	4431.7	4405.13	4436.79	4377.14	4404.85	4487.11	4440.65	4546.06	4688.31	4937.56	5218.81	5292.98	5409.5	5563.25	5572.59	5808.59	6109.49	6558.58	6422.72	6414.39
-4.25	4658.05	4458.72	4394.63	4590.25	4661.71	4732.06	4988.69	4936.52	5177.64	5292.5	5432.98	5585.77	5734.29	6055.87	6153.89	6126.63	6255.76	6210.73	6861.67	6594.02	7048.19
-4	4802.08	4837.3	4958.38	4935.03	5087.5	5203.22	5309.53	5456.05	5400.5	5631.58	5646.3	6093.49	6180.16	6290.81	6504.58	6583.04	6652.11	6696.01	7116.45	7057.45	7153.94
-3.75	5088.38	5047.35	4973.6	5059.68	5195.4	5298.35	5452.13	5448.27	5586.73	5619.08	5707.29	6063.65	6051.68	5515.91	6019.61	6258.7	6593.96	6792.94	7346.95	7316.09	7656.98
-3.5	5171.05	5299.11	5243.96	5415.23	5444.8	5481.74	5435.25	5489.51	5655.17	5827.89	5757.77	5995.49	6361.21	6576.9	6659.49	6785.56	6904.21	7093.94	7608.66	7896.43	8001.62
-3.25	5230.4	5314.6	5336.49	5442.08	5461.84	5569.58	5563.9	5681.73	5833.38	5693.35	5928.31	5972.64	6006.23	6237.3	6686.65	6669.09	7011.65	7066.94	7305.35	7552.68	7645.52
-3	5187.27	5244.35	5198.5	5493.95	5521.83	5606.02	5516.3	5915.72	5960.9	6015.79	6029.65	6615.68	6499.97	6498.14	6775.51	6881.45	7023.76	7157.42	7599.17	7739.54	7871.86
-2.75	5396.72	5328.08	5428.91	5443.99	5440.05	5711.69	5801.2	5989.75	6030.13	6438.61	6457.26	6624.87	6974.05	7281.24	7342.56	7389.85	7444.6	8076.12	7946.98	8390.53	7895.66
-2.5	5336.63	5402.9	5482.21	5544.38	5729.41	5732.75	5853.68	5717.79	6005.45	6331.28	6303.58	6301.18	6325.14	6583.38	6632.19	6467.82	6871.8	6980.56	7172.08	7063.86	7479.37
-2.25	5312.54	5256.94	5168.42	5183.21	5405.39	5361.69	5404.6	5451.58	5511.9	5621.27	5403.78	5725.41	5833.71	6082.13	5971.84	6033.21	6075.37	6397.73	6549.85	6661.95	6773.11
-2	4902.76	5186.93	4823.38	4804.72	4896.7	4801.56	5003.92	4953.99	5067.16	5146.26	5067.36	5277.05	5713.38	5532.94	5490.29	5672.67	5807.17	5756.06	6239.76	6620.51	6515.19
-1.75	4576.35	4690.18	4538.65	4542.74	4488.71	4602.64	4647.65	4684.72	4738.45	4912.09	4901.07	4887.18	5026.26	5304.03	5612.07	5533.76	5682.24	5685.04	6125.08	6063.32	6179.58
-1.5	4486.5	4502.12	4324.07	4501.19	4439.74	4500.71	4482.96	4370.83	4383.55	4347.59	4544.87	4777.94	4937.69	5222.25	5098.56	5146.46	5348.79	5600.14	5751.71	5964.55	6059.23
-1.25	4342.55	4394.08	4354.14	4302.39	4310.5	4314.88	4161.5	4326.65	4197.9	4240.23	4421.23	4725.94	4632.23	4577.22	4876.58	4965.92	5139.06	5118.03	5448.55	5635.44	5801.02
-1	4163.61	4075.13	4083.6	3975.9	4057	3927.12	4089.38	4066.74	4015.38	3998.6	4297.98	4470.86	4699.46	4262.33	4515.27	4516.62	4633.17	4790.92	5028.43	5063.6	5299.14
-0.75	4031.09	3883.02	3844.43	3869.77	3698.51	3652.37	3660.15	3593.99	3812.67	3622.51	3619.29	3702.71	3677.35	3576.65	3387.13	3394.08	3367.07	3274.33	3192.45	3256.17	3202.26
-0.5	5504.24	5123.55	4842.82	4577.11	4326.75	4187.36	3972.19	3990.69	3894.64	3803.34	3663.8	3362.29	3430.03	3091.49	2908.94	2820.23	2677.28	2576.09	2554.22	2516.16	2400.73
-0.25	4488.62	4057.68	3681.92	3327.05	3104.12	2964.21	2855.62	2774.12	2723.15	2548.28	2531.32	2450.08	2473.35	2428.72	2382.81	2515.48	2373.03	2501.72	2634.93	2769.32	2892.37
0	3159.77	2972.21	2834.59	2686.8	2576.36	2522.3	2457.48	2439.93	2334.57	2292.2	2284.87	2343.17	2259.11	2337.24	2299.81	2282.46	2367.5	2518.31	2605.31	2595.42	2689.61
